,dispersions,dispersions_norm,highly_variable,means,n_cells,var_names
20006,2.1472067833974995,-0.31159695982933044,0,0.025876727778569416,1741,ZKSCAN3
20007,2.1990564557814714,-0.20548991858959198,0,0.043285620859373895,2589,ZKSCAN4
20008,2.185730152871645,-0.23276133835315704,0,0.06638132605772301,4707,ZKSCAN5
20009,2.1671817170217547,-0.2707195281982422,0,0.015022956810280031,942,ZKSCAN7
20010,2.2203151585695275,-0.1619853377342224,0,0.06810804203384249,4043,ZKSCAN8
20011,2.509746907581193,0.43031829595565796,0,0.18578004711280097,9028,ZMAT1
20012,2.361650274289215,-0.5745277404785156,0,0.9683836292417385,61965,ZMAT2
20013,2.373704862049722,0.15191692113876343,0,0.3788616172488987,21527,ZMAT3
20014,2.461196084027276,0.3309621512889862,0,0.010528686375754572,259,ZMAT4
20015,2.231925296651243,-0.13822592794895172,0,0.3807286045040707,25454,ZMAT5
20016,2.1379532994708215,-0.33053362369537354,0,0.24582280189360636,17783,ZMIZ1
20017,1.962584816954766,-0.6894140839576721,0,0.013912787666306803,1091,ZMIZ1-AS1
20018,2.1324447793038637,-0.34180647134780884,0,0.22035385992344725,16260,ZMIZ2
20019,2.1521804468364847,-0.301418662071228,0,0.33410323263435926,25005,ZMPSTE24
20020,2.2016949273653346,-0.2000904530286789,0,0.06848463531014497,4086,ZMYM1
20021,2.4760160414045096,-0.11809360235929489,0,0.6626782632240318,33456,ZMYM2
20022,2.2242424838980006,-0.15394830703735352,0,0.11458291451862064,8245,ZMYM3
20023,2.089513226305124,-0.42966315150260925,0,0.1584073359389363,12761,ZMYM4
20024,2.353884240770849,0.11135528981685638,0,0.2887103382218042,15136,ZMYM5
20025,2.201954164947733,-0.19955992698669434,0,0.11688513548327412,7506,ZMYM6
20026,3.4409059034260414,2.3358757495880127,1,0.09249497205032145,2154,ZMYND10
20027,2.297860853799389,-0.0032930055167526007,0,0.28226333957578537,17642,ZMYND11
20028,2.124517845974618,-0.35802844166755676,0,0.01927724192798289,1774,ZMYND12
20029,1.6578304473818624,-1.3130744695663452,0,0.05532408504406683,6007,ZMYND15
20030,2.023116462828839,-0.5655398964881897,0,0.05652759830812138,5590,ZMYND19
20031,2.4319529911535995,-0.18376056849956512,0,0.46703675249472415,28477,ZMYND8
20032,2.3068082763620517,0.015017325058579445,0,0.08619324361580266,4408,ZNF10
20033,2.2184516377001784,-0.16579890251159668,0,0.07352498224220182,4338,ZNF100
20034,2.4588404283124783,0.32614144682884216,0,0.40562242727983255,14971,ZNF101
20035,2.2142851907721828,-0.5081499218940735,0,0.5675653912052359,37591,ZNF106
20036,2.330810083424631,0.06413549184799194,0,0.11573512325072585,6488,ZNF107
20037,2.1680213644795194,-0.2690012454986572,0,0.00785473121986894,717,ZNF112
